"A","B","diff_pct","lo95","hi95","within_major","abs_diff_pct"
"claude-opus-4-5-20251101","kimi-k2-thinking",6,2,10,FALSE,6
"claude-opus-4-5-20251101","gemini-3-pro-preview",4.66666666666666,0.333333333333341,8.66666666666667,FALSE,4.66666666666666
"claude-opus-4-5-20251101","grok-4-0709",3.66666666666666,-0.33333333333333,7.66666666666667,FALSE,3.66666666666666
"claude-opus-4-5-20251101","deepseek-v3.2",3.33333333333333,0,6.66666666666667,FALSE,3.33333333333333
"claude-opus-4-5-20251101","gpt-5.1-2025-11-13",3,-1,7,FALSE,3
"gpt-5.1-2025-11-13","kimi-k2-thinking",3,-1,7.00000000000001,FALSE,3
"deepseek-v3.2","kimi-k2-thinking",2.66666666666666,-1.33333333333334,7,FALSE,2.66666666666666
"grok-4-0709","kimi-k2-thinking",2.33333333333333,-2,7,FALSE,2.33333333333333
"gemini-3-pro-preview","gpt-5.1-2025-11-13",-1.66666666666666,-5.33333333333333,2,FALSE,1.66666666666666
"deepseek-v3.2","gemini-3-pro-preview",1.33333333333333,-2.99999999999999,5.66666666666666,FALSE,1.33333333333333
"gemini-3-pro-preview","kimi-k2-thinking",1.33333333333333,-2.66666666666666,5.33333333333333,FALSE,1.33333333333333
"gemini-3-pro-preview","grok-4-0709",-1,-5.66666666666666,3.66666666666666,FALSE,1
"gpt-5.1-2025-11-13","grok-4-0709",0.666666666666671,-3.33333333333333,4.66666666666666,TRUE,0.666666666666671
"deepseek-v3.2","gpt-5.1-2025-11-13",-0.33333333333333,-4.33333333333333,3.66666666666667,TRUE,0.33333333333333
"deepseek-v3.2","grok-4-0709",0.33333333333333,-3,3.66666666666666,TRUE,0.33333333333333
