"contrast","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value"
"(claude-opus-4-5-20251101) / (deepseek-v3.2)",1.94735093020216,0.735316969308121,Inf,0.642841404200052,5.8990843162602,1,1.7650223433812,0.930720127733743
"(claude-opus-4-5-20251101) / (gemini-3-pro-preview)",2.44635167458257,0.914265277150429,Inf,0.816798690092308,7.326941862574,1,2.39372629198371,0.233494654066699
"(claude-opus-4-5-20251101) / (gpt-5.1-2025-11-13)",1.83410678080586,0.694775859198653,Inf,0.603311334429673,5.57580720172957,1,1.6012234496769,1
"(claude-opus-4-5-20251101) / (grok-4-0709)",2.06509497492743,0.777492933617488,Inf,0.683926652191214,6.2354892031291,1,1.9261368162887,0.703134804495085
"(claude-opus-4-5-20251101) / (kimi-k2-thinking)",3.02375701007433,1.12212586484523,Inf,1.01738765784307,8.98684624831963,1,2.98165076013715,0.0430048270980819
"(deepseek-v3.2) / (gemini-3-pro-preview)",1.25624592703926,0.440228527162298,Inf,0.449122591637287,3.51385982043237,1,0.650990714040976,1
"(deepseek-v3.2) / (gpt-5.1-2025-11-13)",0.941847076641426,0.336108916974119,Inf,0.330426212082396,2.68464148224656,1,-0.167886881526633,1
"(deepseek-v3.2) / (grok-4-0709)",1.06046370117432,0.375373459509889,Inf,0.375210004242547,2.99721022572035,1,0.165850469655763,1
"(deepseek-v3.2) / (kimi-k2-thinking)",1.55275403276205,0.538692118115741,Inf,0.560868134275522,4.29877352432078,1,1.26836567010051,1
"(gemini-3-pro-preview) / (gpt-5.1-2025-11-13)",0.749731446979644,0.263926851149886,Inf,0.266784481978332,2.10693380072925,1,-0.818229749806201,1
"(gemini-3-pro-preview) / (grok-4-0709)",0.844152946767072,0.29457076366718,Inf,0.303106232762329,2.35097177329998,1,-0.485512302085094,1
"(gemini-3-pro-preview) / (kimi-k2-thinking)",1.23602711805133,0.421909493100633,Inf,0.453841083509032,3.36629514619046,1,0.620789510978531,1
"(gpt-5.1-2025-11-13) / (grok-4-0709)",1.12594042862656,0.400270751760264,Inf,0.396594077102222,3.19657282347412,1,0.333667905164081,1
"(gpt-5.1-2025-11-13) / (kimi-k2-thinking)",1.64862648223009,0.574719266008812,Inf,0.592572290561641,4.58673029637325,1,1.43412358714493,1
"(grok-4-0709) / (kimi-k2-thinking)",1.46422176548107,0.50569766368227,Inf,0.531312595099528,4.03518643879858,1,1.1041038343828,1
