"model","quiz_id","quiz_accuracy"
"claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01",1
"deepseek-v3.2","ABMS20260101_claude-opus-4-5-20251101_p01",0.8
"gemini-3-pro-preview","ABMS20260101_claude-opus-4-5-20251101_p01",0.8
"gpt-5.1-2025-11-13","ABMS20260101_claude-opus-4-5-20251101_p01",0.8
"grok-4-0709","ABMS20260101_claude-opus-4-5-20251101_p01",0.8
"kimi-k2-thinking","ABMS20260101_claude-opus-4-5-20251101_p01",0.8
"claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02",0.9
"deepseek-v3.2","ABMS20260101_claude-opus-4-5-20251101_p02",0.9
"gemini-3-pro-preview","ABMS20260101_claude-opus-4-5-20251101_p02",0.8
"gpt-5.1-2025-11-13","ABMS20260101_claude-opus-4-5-20251101_p02",0.8
"grok-4-0709","ABMS20260101_claude-opus-4-5-20251101_p02",0.8
"kimi-k2-thinking","ABMS20260101_claude-opus-4-5-20251101_p02",0.8
"claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p03",0.9
"deepseek-v3.2","ABMS20260101_claude-opus-4-5-20251101_p03",0.9
"gemini-3-pro-preview","ABMS20260101_claude-opus-4-5-20251101_p03",0.8
"gpt-5.1-2025-11-13","ABMS20260101_claude-opus-4-5-20251101_p03",0.9
"grok-4-0709","ABMS20260101_claude-opus-4-5-20251101_p03",0.9
"kimi-k2-thinking","ABMS20260101_claude-opus-4-5-20251101_p03",0.8
"claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p04",1
"deepseek-v3.2","ABMS20260101_claude-opus-4-5-20251101_p04",0.7
"gemini-3-pro-preview","ABMS20260101_claude-opus-4-5-20251101_p04",1
"gpt-5.1-2025-11-13","ABMS20260101_claude-opus-4-5-20251101_p04",0.9
"grok-4-0709","ABMS20260101_claude-opus-4-5-20251101_p04",0.7
"kimi-k2-thinking","ABMS20260101_claude-opus-4-5-20251101_p04",0.7
"claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05",0.9
"deepseek-v3.2","ABMS20260101_claude-opus-4-5-20251101_p05",0.8
"gemini-3-pro-preview","ABMS20260101_claude-opus-4-5-20251101_p05",0.9
"gpt-5.1-2025-11-13","ABMS20260101_claude-opus-4-5-20251101_p05",0.8
"grok-4-0709","ABMS20260101_claude-opus-4-5-20251101_p05",0.9
"kimi-k2-thinking","ABMS20260101_claude-opus-4-5-20251101_p05",0.8
"claude-opus-4-5-20251101","ABMS20260101_deepseek-v3.2_p01",0.9
"deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01",0.9
"gemini-3-pro-preview","ABMS20260101_deepseek-v3.2_p01",0.8
"gpt-5.1-2025-11-13","ABMS20260101_deepseek-v3.2_p01",0.9
"grok-4-0709","ABMS20260101_deepseek-v3.2_p01",0.8
"kimi-k2-thinking","ABMS20260101_deepseek-v3.2_p01",0.9
"claude-opus-4-5-20251101","ABMS20260101_deepseek-v3.2_p02",0.8
"deepseek-v3.2","ABMS20260101_deepseek-v3.2_p02",0.7
"gemini-3-pro-preview","ABMS20260101_deepseek-v3.2_p02",0.7
"gpt-5.1-2025-11-13","ABMS20260101_deepseek-v3.2_p02",0.9
"grok-4-0709","ABMS20260101_deepseek-v3.2_p02",0.8
"kimi-k2-thinking","ABMS20260101_deepseek-v3.2_p02",0.9
"claude-opus-4-5-20251101","ABMS20260101_deepseek-v3.2_p03",0.9
"deepseek-v3.2","ABMS20260101_deepseek-v3.2_p03",0.9
"gemini-3-pro-preview","ABMS20260101_deepseek-v3.2_p03",0.8
"gpt-5.1-2025-11-13","ABMS20260101_deepseek-v3.2_p03",0.9
"grok-4-0709","ABMS20260101_deepseek-v3.2_p03",0.9
"kimi-k2-thinking","ABMS20260101_deepseek-v3.2_p03",0.9
"claude-opus-4-5-20251101","ABMS20260101_deepseek-v3.2_p04",1
"deepseek-v3.2","ABMS20260101_deepseek-v3.2_p04",1
"gemini-3-pro-preview","ABMS20260101_deepseek-v3.2_p04",0.9
"gpt-5.1-2025-11-13","ABMS20260101_deepseek-v3.2_p04",0.9
"grok-4-0709","ABMS20260101_deepseek-v3.2_p04",0.9
"kimi-k2-thinking","ABMS20260101_deepseek-v3.2_p04",0.9
"claude-opus-4-5-20251101","ABMS20260101_deepseek-v3.2_p05",0.9
"deepseek-v3.2","ABMS20260101_deepseek-v3.2_p05",0.9
"gemini-3-pro-preview","ABMS20260101_deepseek-v3.2_p05",0.6
"gpt-5.1-2025-11-13","ABMS20260101_deepseek-v3.2_p05",0.9
"grok-4-0709","ABMS20260101_deepseek-v3.2_p05",1
"kimi-k2-thinking","ABMS20260101_deepseek-v3.2_p05",0.8
"claude-opus-4-5-20251101","ABMS20260101_gemini-3-pro-preview_p01",1
"deepseek-v3.2","ABMS20260101_gemini-3-pro-preview_p01",0.9
"gemini-3-pro-preview","ABMS20260101_gemini-3-pro-preview_p01",1
"gpt-5.1-2025-11-13","ABMS20260101_gemini-3-pro-preview_p01",1
"grok-4-0709","ABMS20260101_gemini-3-pro-preview_p01",1
"kimi-k2-thinking","ABMS20260101_gemini-3-pro-preview_p01",1
"claude-opus-4-5-20251101","ABMS20260101_gemini-3-pro-preview_p02",0.9
"deepseek-v3.2","ABMS20260101_gemini-3-pro-preview_p02",0.9
"gemini-3-pro-preview","ABMS20260101_gemini-3-pro-preview_p02",0.9
"gpt-5.1-2025-11-13","ABMS20260101_gemini-3-pro-preview_p02",0.8
"grok-4-0709","ABMS20260101_gemini-3-pro-preview_p02",0.9
"kimi-k2-thinking","ABMS20260101_gemini-3-pro-preview_p02",0.8
"claude-opus-4-5-20251101","ABMS20260101_gemini-3-pro-preview_p03",1
"deepseek-v3.2","ABMS20260101_gemini-3-pro-preview_p03",1
"gemini-3-pro-preview","ABMS20260101_gemini-3-pro-preview_p03",1
"gpt-5.1-2025-11-13","ABMS20260101_gemini-3-pro-preview_p03",0.9
"grok-4-0709","ABMS20260101_gemini-3-pro-preview_p03",1
"kimi-k2-thinking","ABMS20260101_gemini-3-pro-preview_p03",0.9
"claude-opus-4-5-20251101","ABMS20260101_gemini-3-pro-preview_p04",1
"deepseek-v3.2","ABMS20260101_gemini-3-pro-preview_p04",1
"gemini-3-pro-preview","ABMS20260101_gemini-3-pro-preview_p04",1
"gpt-5.1-2025-11-13","ABMS20260101_gemini-3-pro-preview_p04",1
"grok-4-0709","ABMS20260101_gemini-3-pro-preview_p04",1
"kimi-k2-thinking","ABMS20260101_gemini-3-pro-preview_p04",1
"claude-opus-4-5-20251101","ABMS20260101_gemini-3-pro-preview_p05",1
"deepseek-v3.2","ABMS20260101_gemini-3-pro-preview_p05",1
"gemini-3-pro-preview","ABMS20260101_gemini-3-pro-preview_p05",1
"gpt-5.1-2025-11-13","ABMS20260101_gemini-3-pro-preview_p05",1
"grok-4-0709","ABMS20260101_gemini-3-pro-preview_p05",1
"kimi-k2-thinking","ABMS20260101_gemini-3-pro-preview_p05",1
"claude-opus-4-5-20251101","ABMS20260101_gpt-5.1-2025-11-13_p01",1
"deepseek-v3.2","ABMS20260101_gpt-5.1-2025-11-13_p01",0.8
"gemini-3-pro-preview","ABMS20260101_gpt-5.1-2025-11-13_p01",0.9
"gpt-5.1-2025-11-13","ABMS20260101_gpt-5.1-2025-11-13_p01",1
"grok-4-0709","ABMS20260101_gpt-5.1-2025-11-13_p01",0.9
"kimi-k2-thinking","ABMS20260101_gpt-5.1-2025-11-13_p01",0.9
"claude-opus-4-5-20251101","ABMS20260101_gpt-5.1-2025-11-13_p02",0.9
"deepseek-v3.2","ABMS20260101_gpt-5.1-2025-11-13_p02",0.7
"gemini-3-pro-preview","ABMS20260101_gpt-5.1-2025-11-13_p02",0.7
"gpt-5.1-2025-11-13","ABMS20260101_gpt-5.1-2025-11-13_p02",0.8
