"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"(claude-opus-4-5-20251101) - (deepseek-v3.2)",0.666469951649367,0.377598591966054,Inf,-0.441857234934211,1.77479713823294,1.7650223433812,0.930720127733743
"(claude-opus-4-5-20251101) - (gemini-3-pro-preview)",0.894597802311553,0.373726020935414,Inf,-0.20236261583974,1.99155822046285,2.39372629198371,0.233494654066699
"(claude-opus-4-5-20251101) - (gpt-5.1-2025-11-13)",0.606557595043346,0.378808838432724,Inf,-0.5053219063264,1.71843709641309,1.6012234496769,1
"(claude-opus-4-5-20251101) - (grok-4-0709)",0.725176218056301,0.376492579303675,Inf,-0.379904600748101,1.8302570368607,1.9261368162887,0.703134804495085
"(claude-opus-4-5-20251101) - (kimi-k2-thinking)",1.10650010127735,0.371103187559917,Inf,0.0172382222567371,2.19576198029796,2.98165076013715,0.0430048270980819
"(deepseek-v3.2) - (gemini-3-pro-preview)",0.228127850662187,0.35043180454311,Inf,-0.800459395906751,1.25671509723112,0.650990714040976,1
"(deepseek-v3.2) - (gpt-5.1-2025-11-13)",-0.0599123566060205,0.356861453743282,Inf,-1.1073719060923,0.987547192880261,-0.167886881526633,1
"(deepseek-v3.2) - (grok-4-0709)",0.0587062664069348,0.353971059164226,Inf,-0.980269398446085,1.09768193125996,0.165850469655763,1
"(deepseek-v3.2) - (kimi-k2-thinking)",0.440030149627981,0.346926883942792,Inf,-0.578269455856482,1.45832975511244,1.26836567010051,1
"(gemini-3-pro-preview) - (gpt-5.1-2025-11-13)",-0.288040207268207,0.352028519295992,Inf,-1.32131413013174,0.745233715595322,-0.818229749806201,1
"(gemini-3-pro-preview) - (grok-4-0709)",-0.169421584255252,0.348954256210707,Inf,-1.19367193174369,0.854828763233191,-0.485512302085094,1
"(gemini-3-pro-preview) - (kimi-k2-thinking)",0.211902298965794,0.341343233444424,Inf,-0.790008178541522,1.21381277647311,0.620789510978531,1
"(gpt-5.1-2025-11-13) - (grok-4-0709)",0.118618623012955,0.35549904913577,Inf,-0.924841997192976,1.16207924321889,0.333667905164081,1
"(gpt-5.1-2025-11-13) - (kimi-k2-thinking)",0.499942506234001,0.348604897594142,Inf,-0.523282404028655,1.52316741649666,1.43412358714493,1
"(grok-4-0709) - (kimi-k2-thinking)",0.381323883221046,0.345369585129834,Inf,-0.632404739614757,1.39505250605685,1.1041038343828,1
